label,year,reporter_info,status,case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
"Association of Swiss Senior Women for Climate Protection v. Federal Department of the Environment Transport, Energy and Communications (DETEC) and Others",2016,No. A-2992/2017,Decided,"Suits against governments, Human Rights, Other, Suits against governments, GHG emissions reduction and trading, Other","Switzerland, Swiss Supreme Court","Switzerland, Constitution, International Law, European Convention on Human Rights","In 2016, a group of senior women, filed suit against the Federal Council, the Federal Department of the Environment Transport, Energy and Communications (DETEC), The Federal Office for the Environment, and the Federal Office for Energy, , alleging that these bodies of the Swiss Government had failed to uphold obligations under the Swiss Constitution and European Convention on Human Rights (ECHR) by not steering Switzerland onto an emissions reduction trajectory consistent with the goal of keeping global temperatures well below 2ºC above pre-industrial levels. Specifically, petitioners alleged the government had violated articles 10 (right to life), 73 (sustainability principle), and 74 (environmental protection) of the Swiss Constitution and by articles 2 and 8 ECHR. The petitioners alleged that their demographic group is especially vulnerable to the heat waves expected to result from climate change. They called upon the Swiss parliament and the relevant federal agencies to develop a regulatory approach to several sectors that would achieve greenhouse gas emissions reductions of at least 25% below 1990 levels by 2020, and at least 50% below 1990 levels by 2050. The petition criticized both the targets under discussion at the time in parliament (20% by 2020, and 30% by 2030) and the measures by which the Government would pursue those targets.",Adequacy of Swiss government's climate change mitigation targets and implementation measures and possible infringement on human rights,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20161025_No.-A-29922017_petition-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20161025_No.-A-29922017_petition.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2017/20170426_No.-A-29922017_order-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2017/20170526_No.-A-29922017_appeal-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20181127_No.-A-29922017_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20181207_No.-A-29922017_press-release-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20181127_No.-A-29922017_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190121_No.-A-29922017_appeal.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190121_No.-A-29922017_appeal-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200520_No.-A-29922017_judgment.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200505_No.-A-29922017_judgment.pdf",https://climatecasechart.com/non-us-case/union-of-swiss-senior-women-for-climate-protection-v-swiss-federal-parliament
"In re Foraneto, S.L, Judgment No. 5347/2008 of Oct. 6, 2008",,Appeal No. 100/2005,Granted,"Suits against governments, GHG emissions reduction and trading, EU ETS","Spain, Supreme Court of Spain, Administrative Litigation Division","Spain, Royal Decree Law 5/2004 of August 27","Foraneto, S.L. brought suit against the Council of Ministers of Spain challenging their decision to approve the individual assignment of emissions credits to its energy plant in Tarragona at a total of 140,250 tons of CO2 for 2005-2007 period, or 46.750 tons per year, under the provisions of Royal Decree 5/2004 of August 27th.  Foraneto sought partial annulment of the Council’s decision in order to increase its credit allowance by a total of 35,318 tons, or 11,772 additional tons per year (the amount originally requested); in the alternative, they sought compensation at the average market rate.  The court found in Foraneto’s favor, holding that the assignment of credits was made by applying formalistic factors that did not take into account the real volume of production at the Tarragona facility.  Based on an expert’s testimony, the court changed the assignment to a total of 174,508 tons for the 2005-2007 period, or 58.136 tons per year.",Challenge to individual assignment of emissions,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20081006_Appeal-No.-1002005_judgment.pdf,https://climatecasechart.com/non-us-case/in-re-foraneto-sl-judgment-no-53472008-of-oct-6-2008
ClientEarth v Poland (on behalf of P.R.),2021,,Pending,"Suits against governments, Human Rights, Other, Suits against governments, GHG emissions reduction and trading, Other","Poland, District Court","Poland, Civil Code, International Law, European Convention on Human Rights","ClientEarth, on behalf of a private citizen, brought an action against the Polish government alleging human rights violations for their failure to protect the citizen from the worsening effects of climate change. The case names the State Treasury as the defendant, represented by Minister for Climate and Environment, Minister for State Assets, Minister for Development, Labour and Technology, Minister for Infrastructure, Minister for Agriculture and Rural Development, and the Minister for Funds and Regional Policy. The plaintiff asks the court to determine the defendant's liability resulting from the public authorities’ allowing the emission of greenhouse gases (GHG) from the territory of Poland in excess of the ‘fair share.’ The plaintiff alleges this resulted in violations of the right to enjoy the value of the natural environment, including the right to live in stable and safe climatic conditions, health, respect for the place of residence, the right to privacy and respect for family life.",Whether the Polish government’s failure to protect plaintiff from the worsening effects of climate change violates personal and human rights,No case documents are available.,https://climatecasechart.com/non-us-case/clientearth-v-poland-on-behalf-of-pr
Notre Affaire à Tous and Others v. France,2018,,Pending,"Suits against governments, Human Rights, Other, Suits against governments, GHG emissions reduction and trading, Other","France, Administrative Court of Paris","International Law, UNFCCC, Paris Agreement, International Law, European Convention on Human Rights, France, Constitution, France, French Environmental Code, France, French Environmental Charter","On December 17, 2018, four nonprofits sent a “lettre préalable indemnitaire” (letter of formal notice) to Prime Minister Edouard Philippe and 12 members of the French government, initiating the first stage in a legal proceeding against the French government for inadequate action on climate change. This type of letter is part of a legal proceeding known as “recours en carence fautive” (action for failure to act). The plaintiffs allege that the French government’s failure to implement proper measures to effectively address climate change violated a statutory duty to act. The four plaintiff groups are Fondation pour la Nature et l’Homme (FNH), Greenpeace France, Notre Affaire à Tous and Oxfam France. In their press release, they describe the lawsuit as challenging the state's inaction on climate change and failure to meet its own goals for reducing greenhouse gas emissions, increasing renewable energy, and limiting energy consumption.",Whether the French government’s failure to take further action on climate change violates a statutory duty to act under domestic and international law,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20181218_NA_press-release.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20181217_NA_na-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190204_NA_na-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190314_NA_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190314_NA_complaint-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200623_NA_reply-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200623_NA_reply.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200903_NA_reply.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210203_NA_decision-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210203_NA_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211014_NA_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211021_NA_decision-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231222_NA_decision.pdf",https://climatecasechart.com/non-us-case/notre-affaire-a-tous-and-others-v-france
"Greenpeace Canada v. Minister of the Environment, Conservation, and Parks; Lieutenant Governor in Council",2018,Case no. 575/18,Decided,,"Canada, Ontario, Superior Court of Justice","Canada, Environmental Bill of Rights, Canada, Climate Change Mitigation and Low-carbon Economy Act, Canada, Ontario Regulation 386/18, Canada, Bill 4: Cap and Trade Cancellation Act","On October 11, 2019, the Superior Court of Ontario dismissed Greenpeace's case on the grounds that declaratory relief was not available. Two of the three judges reasoned that declaratory relief would have no practical effect because the statute that gave authority for the regulation at issue had been repealed. Had declaratory relief been able to have practical effect, two of the judges would have found that the Ontario government was required to participate in public participation before enacting the cancelling regulation.",Whether regulations and legislation undoing Ontario’s cap and trade program illegally failed to comply with requirements for public consultation,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20180911_Case-no.-57518_application-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190125_Case-no.-57518_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20191011_Case-no.-57518_judgment.pdf",https://climatecasechart.com/non-us-case/greenpeace-canada-v-minister-of-the-environment-conservation-and-parks-lieutenant-governor-in-council
"In re E.ON Generacion S.A., Judgment No. 1205/2010 of Mar. 4, 2010",,Appeal No. 21/2007,Challenged rules vacated in part,"Suits against governments, GHG emissions reduction and trading, EU ETS","Spain, Supreme Court of Spain, Administrative Litigation Division","Spain, Royal Decree Law 1370/2006 of November 24, European Union, Secondary Law, Directives, 2003/87/EC","An energy retailing company brought suit against the General Government Administration of Spain, challenging Royal Decree 1370/2006 of November 24th (Official Bulletin of the State No. 282 of November 25, 2006), which implemented amendments to Spain’s National Allocation Plan for greenhouse gas allowances for 2008-2012.  Court found that rules setting standards for SO2 emissions, and which took into account investments to reduce SO2 emissions by coal-fired power plants in assigning emission allowances under the Plan, were null and void on their face because they were not specifically authorized by Spain’s implementing statute for the EU’s Directive 2003/87/EC of the European Parliament and of the Council of 13 October 2003, Law 1/2005 of March 9th.  Rules relating to the provisional assignment of credits for new installations also found to be contrary to the implementing statute because they effectively altered the definition of “new entrants” in the statute.  However, the Court rejected plaintiff’s argument that the Plan’s methodology for the assignment of credits to coal-fired power plants was invalid because it placed undue burdens on certain facilities, as well as its argument that the allowance reserves for new entrants were inadequately low.",Challenge to rules promulgated under Royal Decree,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100304_Appeal-No.-212007_judgment.pdf,https://climatecasechart.com/non-us-case/eon-generacion-sa-judgment-no-12052010-of-mar-4-2010
Bard Campaign v. Secretary of State for Communities and Local Government,,[2009] EWHC 308,Dismissed,,"United Kingdom, England and Wales, High Court of Justice","International Law, Aarhus Convention on Access to Environmental Information, United Kingdom, Code of Practice on Consultation","Claimants opposed the designation of two locations as proposed “ecotowns.” These designations were part of a larger government campaign to establish a number of ecotowns as  exemplar green developments to serve as models of best practices in urban sustainability and climate change resilience. Claimants challenged the designations asserting that the designation process lacked sufficient public consultation, including a failure on the part of the government to provide adequate information and time for public involvement. The court found that the government’s approach to consultation was sufficient and dismissed the claim.",Challenge designation process for “ecotowns”,No case documents are available.,https://climatecasechart.com/non-us-case/bard-campaign-v-secretary-of-state-for-communities-and-local-government
Notre Affaire à Tous v. France,2024,,Pending,"Suits against governments, GHG emissions reduction and trading, Other","European Union, European Commission","European Union, Primary Law, EU Charter on Human Rights, European Union, Secondary Law, Directives, 2018 Revised Renewable Energy Directive","On November 7, 2024, a coalition of European non-governmental organizations (NGOs) formally submitted coordinated complaints to the European Commission,* seeking the initiation of infringement proceedings against France, Germany, Ireland, Italy, and Sweden for alleged violations of their legal obligations under European Union (EU) law concerning their National Energy and Climate Plans (NECPs).",Whether France has failed to comply with its obligations under European Union law regarding its National Energy and Climate Plans (NECPs),No case documents are available.,https://climatecasechart.com/non-us-case/notre-affaire-a-tous-v-france
R(Packham) v Secretary of State for Energy Security and Net Zero and Secretary of State for Transport (challenge to the ‘new approach to Net Zero’),2023,,Pending,"Suits against governments, GHG emissions reduction and trading, Other","United Kingdom, England and Wales, High Court of Justice","United Kingdom, Climate Change Act 2008","On September 20, 2023, the Prime Minister gave a speech setting out his ‘new approach to Net Zero’. The accompanying press release stated that due to the “UK’s over-delivery on reducing emissions” there was “space to take a more pragmatic, proportionate, and realistic approach to reaching net zero...”. A number of policy changes were announced. The 2030 ban on the sale of petrol and diesel cars was delayed to 2035. Policies requiring landlords to upgrade the energy efficiency of their properties were dropped. And the ban on new fossil fuel boilers for certain households was delayed.
On December 1, 2023, environmentalist and TV personality Chris Packham announced a public law challenge to these decisions. The grounds of claim are:
• The obligation under Section 13 Climate Change Act 2008 to have proposals and policies to meet carbon budgets is continuing and the proposals and policies must be current. If they are altered, there must always be plans in place to meet the budgets. The secretaries of state breached this obligation.
• There was a failure to take into account considerations listed under Section 10 of the Climate Change Act, such as the risk to delivery of proposals and policies and to the achievement of the carbon budgets and the 2050 net zero target.
• There was a failure to consult on the changes, particularly a failure to take into account ongoing consultations about off-grid heating and minimum energy efficiency in rental properties
• The decisions were based on misinformation
• There was a breach of the duty to inform the public of the reasons for the decisions to change the policies",Whether the government's 'new approach to Net Zero’ announced in September 2023 is legal.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231201_22915_press-release.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230920_22915_press-release-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230920_22915_press-release-2.pdf",https://climatecasechart.com/non-us-case/rpackham-v-secretary-of-state-for-energy-security-and-net-zero-and-secretary-of-state-for-transport-challenge-to-the-new-approach-to-net-zero
"Luca Salis, et al. v. State of Sachsen-Anhalt",2021,,Decided,"Suits against governments, Human Rights, Youth/Children, Suits against governments, GHG emissions reduction and trading, Other","Germany, Federal Constitutional Court","Germany, Constitution, Germany, Federal Climate Protection Act of 2019 (KSG)","On September 9, 2021, the youth plaintiffs Henrike Cremer, Jan Luca Samuel Salis, and Friedrich Hirschmann, supported by environmental organization Deutsche Umwelthilfe (DUH; Environmental Action Germany), brought a constitutional claim against the state of Saxony-Anhalt, for its failure to adopt a climate protection law. An initiative from 2013 was unsuccessful. Plaintiffs invoked the state’s duty to protect their fundamental rights, to request that the state legally stipulate a GHG emissions reduction pathway towards achieving climate neutrality by 2045, to comply with the Federal Climate Protection Act and the overarching 1.5°C temperature target, as informed by the Paris Agreement. This case is part of a series of eleven separate constitutional complaints supported by DUH against ten federal states, following the Constitutional Court’s Neubauer decision in 2021.",The lack of a climate protection law in the State of Saxony-Anhalt.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210909_14616_petition.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220118_14616_order.pdf",https://climatecasechart.com/non-us-case/luca-salis-et-al-v-state-of-sachsen-anhalt
"Re French Carbon Tax: Decision No. 2009-599 DC of Dec. 29, 2009",,No. 2009-599 DC,Law annulled,"Suits against governments, GHG emissions reduction and trading, Other","France, Constitutional Council","France, Equity",French Constitutional Council annulled a tax on carbon emissions.  The tax was set at 17 Euros per ton of carbon dioxide.  The Council ruled that the proposed tax contained too many exemptions and would not have applied to 93% of industrial emissions.,Challenge to proposed French carbon tax,No case documents are available.,https://climatecasechart.com/non-us-case/re-french-carbon-tax-decision-no-2009-599-dc-of-dec-29-2009
R(Friends of the Earth Ltd) v Secretary of State for Energy Security and Net Zero; ClientEarth v SSESNZ; Good Law Project v SSESNZ (challenges to the Carbon Budget Delivery Plan),2023,,Pending,"Suits against governments, GHG emissions reduction and trading, Other","United Kingdom, England and Wales, High Court of Justice","United Kingdom, Climate Change Act 2008","In June 2021, the UK’s sixth carbon budget was set, covering the period 2033 to 2037. In November 2021 the government published its strategy for meeting that and the other preceding carbon budgets. However that strategy was held to be in breach of the Climate Change Act 2008 - R(Friends of the Earth, ClientEarth and Good Law Project) v SSBEIS [2022] EWHC 1841 (Admin). The court ordered government to revise its strategy to correct the legal errors identified. That revised strategy – the Carbon Budget Delivery Plan – was published in March 2023. However that too was challenged on public law grounds in claims brought by Friends of the Earth, ClientEarth and the Good Law Project.
Friends of the Earth’s challenge raises grounds under both section 13 and section 14 of the Climate Change Act. Under section 13, Friends of the Earth argue that the Secretary of State did not consider delivery risk in a lawful way, and that there was no legally sufficient basis for the Secretary of State to conclude that the proposals and policies “will enable” the carbon budgets to be met. Further, Friends of the Earth argue that the Secretary of State unlawfully failed to put forward proposals that “must” contribute to sustainable development. Under section 14, Friends of the Earth argue that the Plan unlawfully does not include information obviously material to the critical issue of risk to the delivery of the carbon budgets.
Good Law Project's challenge focuses on the government's refusal to include a proper assessment of the delivery risk associated with each of the policies and proposals in the Plan. Good Law Project argue that this is unlawful because it is a breach of section 14 , which requires the Secretary of State to publish sufficient information to allow meaningful scrutiny of the government’s net zero policies.
ClientEarth’s challenge focuses on the government’s failure to have regard to considerations that are legally essential under section 13, related to the risks of its plans not delivering the emissions savings required to meet the UK’s climate targets. ClientEarth also argues that the government’s assumption that the projected emissions savings from its policies will be delivered ‘in full’ was not rational having regard to the government’s own assessment of delivery risks to key policies.
The High Court heard the three cases in February 2024, reserving judgment.",Whether the government’s revised economy-wide plan for meeting the UK’s carbon budgets is legal.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230701_22327_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230707_22327_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240226_22327_na.pdf",https://climatecasechart.com/non-us-case/rfriends-of-the-earth-ltd-v-secretary-of-state-for-energy-security-and-net-zero-clientearth-v-ssesnz-good-law-project-v-ssesnz-challenges-to-the-carbon-budget-delivery-plan
Deutsche Umwelthilfe (DUH) v. Nordrhein-Westfalen (NRW),2020,,Pending,"Suits against governments, GHG emissions reduction and trading, Other","Germany, North Rhine-Westphalia, Higher Administrative Court of North Rhine-Westphalia","Germany, Federal Climate Protection Act of 2019 (KSG), Germany, North Rhine-Westphalia Climate Protection Act","On December 3, 2020, environmental organization Deutsche Umwelthilfe (DUH; Environmental Action Germany) brought a claim against the state of Nordrhein-Westfalen (NRW), asking the Higher Administrative Court of NRW to order the NRW government to update its climate protection plan. The NRW Climate Protection Act required a climate protection plan to be adopted by 2013 and subsequently updated every five years. NRW’s climate protection plan was adopted in 2015, two years after the deadline had passed. The plaintiffs argue that the plan should have been updated in 2018, five years after the 2013 adoption, rather than in 2020. Given that the NRW government has yet to update its plan, the plaintiffs claim the state government is in breach of its Climate Protection Act, and ask the court to order an immediate update of the plan.",The inadequacy of a climate protection law in the State of Nordrhein-Westfalen.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201203_14598_petition.pdf,https://climatecasechart.com/non-us-case/deutsche-umwelthilfe-duh-v-nordrhein-westfalen-nrw
DUH and BUND v. Germany,2023,,pending,"Suits against governments, GHG emissions reduction and trading, Other","Germany, Higher Administrative Court Berlin-Brandenburg","Germany, Federal Climate Protection Act of 2019 (KSG)","Friends of the Earth Germany submitted a claim with the Higher Administrative Court Berlin-Brandenburg, for its missing emission targets for the building and transport sector. The organization argues that the sectors exceed the annual CO2 emissions considered permissible under law and are therefore required to draft an emergency program, detailing the speedy reduction of their respective emissions, and to secure the adherence to targets between the years of 2023 to 2030.",Adoption of an emergency climate program and emission reduction targets for the building and transport sectors.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230120_19185_points-of-claim-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231130_19185_press-release-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240201_19185_decision.pdf",https://climatecasechart.com/non-us-case/bund-v-germany
Deutsche Umwelthilfe (DUH) v. Bayern,2021,,Pending,"Suits against governments, GHG emissions reduction and trading, Other","Germany, Bayern, Bayern Administrative Court","Germany, Bayern Climate Protection Act (BayKlimaG), Germany, Federal Climate Protection Act of 2019 (KSG)","On June 24, 2021, environmental organization Deutsche Umwelthilfe (DUH; Environmental Action Germany) brought a claim against the state of Bavaria for failing to set up a climate protection program. In its submission, DUH asks the Higher Administrative Court to order the Bavarian government to adopt a new climate protection program, whose measures are suited to: (i) reduce the GHG emissions in Bavaria by at least 55% by 2030; (ii) reduce GHG emissions to less than 5 tons per inhabitant of Bavaria; and (iii) achieve climate neutrality by 2050.",The inadequacy of the climate protection law and program of the State of Bavaria.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210624_14626_petition.pdf,https://climatecasechart.com/non-us-case/deutsche-umwelthilfe-duh-v-bayern
"Asociación Civil por la Justicia Ambiental v. Province of Entre Ríos, et al. (Delta del Paraná case)",2020,,Pending,"Suits against governments, GHG emissions reduction and trading, Other, Suits against governments, Protecting biodiveristy and ecosystems","Argentina, Supreme Court","International Law, UNFCCC, Paris Agreement, Argentina, Law No. 27520/2019 (Minimum Budgets for Adaptation and Mitigation), Argentina, Environmental Law to Control Burning Activities No. 23.919., Argentina, Law No. 26562, Argentina, Law No. 26.815, Argentina, General Environmental Law No. 25.675, Argentina, Constitution, International Law, Escazú Agreement, International Law, UN Convention on the Rights of the Child","In late Fall 2020, the uncontrolled burning of pastures in a Ramsar’s wetland ecosystem (Delta del Paraná) created a serious environmental conflict between different provinces of Argentina. This conflict gave place to several lawsuits seeking protection for the ecosystem, including injunctions and damages for environmental and health consequences of the fires. One of these claims introduced climate concerns.",Whether different governmental entities are responsible for the burning of a wetland ecosystem and must take immediate action to protect the environment and citizens’ health.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200702_11820_complaint.pdf,https://climatecasechart.com/non-us-case/asociacion-civil-por-la-justicia-ambiental-v-province-of-entre-rios-et-al
Greenpeace East Asia and others v. Ministry of Economic Affairs,2021,,Pending,"Suits against governments, GHG emissions reduction and trading, Other","Taiwan, Taipei Administrative Court","Taiwan, Renewable Energy Development Act, Taiwan, Greenhouse Gas Reduction and Management Act","On February 3, 2021, Greenpeace East Asia, the Environmental Jurists Association, and four individual plaintiffs filed suit against Taiwan's Ministry of Economic Affairs (MOEA), alleging that the agency's Regulation for Large Power Consumers was not ambitious enough, in violation of the country's climate laws. MOEA's Regulation for Large Power Consumers entered into force on January 1, 2020 and requires large consumers to transition 10% of their contracted capacity to renewable energy. Plaintiffs challenge two aspects of the regulations. They argue that the regulations improperly applied only to 10% of contracted capacity, rather than 20% of actual consumption; and the regulations improperly raised the threshold for who qualifies as a large power consumer to 5,000kWh, exempting 90% of large company consumers. Plaintiffs argue that the defects are in violation of the Greenhouse Gas Reduction and Management Act and the Renewable Energy Development Act, which set a 20% renewable energy goal by 2025. Plaintiffs seek a court order for the MOEA to amend the Regulation for Large Power Consumers. According to the plaintiffs, this is the first citizen suit in Taiwan seeking a reduction in carbon emissions.","Whether Taiwan's Regulation for Large Power Consumers was not sufficiently ambitious, in violation of the country's climate laws.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210203_13015_complaint.pdf,https://climatecasechart.com/non-us-case/greenpeace-east-asia-and-others-v-ministry-of-economic-affairs
Thomson v. Minister for Climate Change Issues,2015,[2017] NZHC 733,Decided,"Suits against governments, GHG emissions reduction and trading, Other","New Zealand, High Court of New Zealand","New Zealand, Climate Change Response Act 2002","Sarah Thomson, a New Zealand law student, filed a Statement of Claim in 2015 against New Zealand’s Minister of Climate Change Issues alleging that the Minister had failed in several respects regarding the setting of greenhouse gas emissions reduction targets required by New Zealand’s Climate Change Response Act of 2002. That Act implements New Zealand’s responsibilities as a ratifying Annex I member of the United Nations Framework Convention on Climate Change (UNFCCC). It requires the Minister to set an emissions reduction target in keeping with the statements of the Intergovernmental Panel on Climate Change (IPCC), and to consider whether to revise that target as the IPCC issues updated findings. In March 2011, pursuant to the 2002 Act, the Minister had set a target of 50% reduction from 1990 greenhouse gas (GHG) emissions levels by 2050. The Minister did not review or revise that target following the 2014 issuance of the IPCC’s Fifth Assessment Report. In July 2015, in advance of the 21st Conference of the Parties to the UNFCCC in Paris, the Minister submitted New Zealand’s intended nationally determined contribution (INDC)--and then subsequently a nationally determined contribution (NDC)--consistent with a “provisional target” of only 30% reduction from 2005 levels by 2030. As Thomson's Statement of Claim noted, “this equates to a reduction of 11% below New Zealand’s 1990 emission levels by 2030,” and thus “will not, if adopted by other developed countries in combination with appropriate targets set by developing countries, stabilize greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system.” Thus Thompson challenged both the target set pursuant to the 2002 law and the target set as part of New Zealand's NDC pursuant to the United National Convention on Climate Change and the Paris Agreement, both ratified by New Zealand.",Challenge to Minister's target for greenhouse gas emission reductions,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2015/20151110_2017-NZHC-733_complaint-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2017/20171102_2017-NZHC-733_decision-1.pdf",https://climatecasechart.com/non-us-case/thomson-v-minister-for-climate-change-issues
Billerud Karlsborg AB v. Swedish Environmental Protection Agency,,[2013] Case C-203/12,Denied,"Suits against governments, GHG emissions reduction and trading, EU ETS","European Union, European Court of Justice","European Union, Secondary Law, Directives, 2003/87/EC","The Swedish environmental protection agency, imposed penalties on the Billerud companies for failing to surrender credits under the EU Emissions Trading Scheme in 2006. The Billerud companies challenged the penalties arguing that since the failure was due to an internal error and the companies had a sufficient number of allowances at the time, they should be excused. The European Court of Justice (CJEU) found that under Directive 2003/87/EZ, penalties for failure to surrender credits still apply even if the entity held a sufficient number of allowances at that time. In addition, the CJEU found that the penalty was a lump sum and may not be varied by a national court on the basis of the principle of proportionality.",Challenge penalties imposed for failure to surrender emissions allowances,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20131017_2013-Case-C-20312_judgment.pdf,https://climatecasechart.com/non-us-case/billerud-karlsborg-ab-v-swedish-environmental-protection-agency
"In re Segura, S.L., Judgment No. 4745/2009 of July 6, 2009",,Appeal No. 98/2005,Granted,"Suits against governments, GHG emissions reduction and trading, EU ETS","Spain, Supreme Court of Spain, Administrative Litigation Division","Spain, Royal Decree Law 5/2004 of August 27","A mineral extraction company, Segura, S.L., brought suit against a decision of the Council of Ministers of Spain of January 21, 2005, which approved the assignment of emission credits to the company’s limestone processing facility in Seville for the 2005-2007 term under the provisions of Royal Decree 5/2004 of August 27th, which regulated the market for GHG emissions trading.  The Court found that the decision of the Council was invalid because it did not adduce adequate foundation as to the criteria that were applied to quantify the emission credits assigned to Segura, S.L., and ordered the Council to conduct the assignment of credits anew.  Adequate foundation deemed important to avoid arbitrary application of rules, to promote transparency in the market for emissions trading, and avoid impinging on principles of sound competition.",Challenge to emissions allowance,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090706_Appeal-No.-982005_judgment.pdf,https://climatecasechart.com/non-us-case/in-re-segura-sl-judgment-no-47452009-of-july-6-2009
Greenpeace v. Ministry of Energy and Others (on the Energy Sector Program 2020 and Electric Industry Law),2021,Amparo 135/2021,Pending,"Suits against governments, GHG emissions reduction and trading, Other, Suits against governments, Just transition","Mexico, District Court, Mexico, Circuit Court","Mexico, National Electricity Sector Development Program 2020-2034, Mexico, Electricity Industry Law","Greenpeace challenged the constitutionality of the amendments to the Electric Industry Act and the National Electricity Sector Development Program 2020-2034 (PRODESEN). In its suit, Greenpeace also asked for a stay of the implementation of both regulations. Plaintiff argued that the regulations displace the use of renewable energy sources in electricity generation in favor of polluting, fossil fuel sources. This transgresses Mexico’s international commitments on climate change.",Whether the amendments to the Electric Industry Act and PRODESEN transgress the right to a healthy environment.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210326_Amparo-1352021_judgment.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220901_Amparo-1352021_judgment-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230103_Amparo-1352021_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240124_Amparo-1352021_decision-1.pdf",https://climatecasechart.com/non-us-case/greenpeace-v-ministry-of-energy-and-others-on-the-energy-sector-program-2020-and-electric-industry-law
