http://www.w3.org/2000/01/rdf-schema#label,https://www.michaeldebellis.com/climate_obstruction/year,https://www.michaeldebellis.com/climate_obstruction/reporter_info,https://www.michaeldebellis.com/climate_obstruction/status,https://www.michaeldebellis.com/climate_obstruction/case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
ASA Ruling on Charles Tyrwhitt Shirts Ltd,2023,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","United Kingdom, Advertising Standards Authority (ASA)","United Kingdom, Code of Non-broadcast Advertising","""A paid-for Facebook ad for Charles Tyrwhitt, a clothing retailer, seen in July 2023, featured an image of a print cotton shirt. Text on the post stated “[…] We’re proud to be a Carbon Neutral business”.",Whether advertising claims by a clothing company that it was a “Carbon Neutral business” was likely to mislead.,No case documents are available.,https://climatecasechart.com/non-us-case/asa-ruling-on-charles-tyrwhitt-shirts-ltd/
NZ Students for Climate Solutions and UK Youth Climate Coalition v. Board of BP,2022,,Pending,,"International Courts & Tribunals, International Criminal Court","International Law, UNFCCC, Paris Agreement, International Law, Rome Statute","Students for Climate Solutions New Zealand and the UK Youth Climate Coalition have submitted a request to the prosecutor of the International Criminal Court to open an investigation against BP Senior Executives. The submission argues that BP Senior Executives allegedly committed a crime against humanity by knowingly causing and perpetuating climate change while pursuing activities in the oil and gas industry. The submission alleges that since the 1950s, BP Senior Executives have been aware of the climate implications of the corporation’s oil and gas activities because of internal studies conducted into
greenhouse gases. The results of these studies have allegedly been withheld from the public. The submission further argues that as of the 1990s, BP Senior Executives have admitted their role in perpetuating climate change in company documentaries where a link was made between the corporation’s activities and climate change. In prioritizing profits from oil activities, BP Senior Executives are alleged to have engaged in the following harmful behaviors:
- Creating doubt by sowing distrust in climate change science
- Entrenching dependency on BP’s petroleum products on the false pretense that they are a necessary and viable solution to climate change
- Causing delays to urgent climate policy by portraying climate change as a far-future issue
- Fostering deception of governments and the wider public through misleading marketing of BP as a renewable energy company, using strategic communications to shift responsibilities for carbon emissions onto individuals, and promoting false solutions, such as yet-to-be- invented technology, that prolong the use of fossil fuels
- Ensuring dominance through attempts to control and influence political processes via systematic lobbying and campaign financing.",Whether BP Senior Executives committed a crime against humanity by knowingly causing and perpetuating climate change in the pursuit of oil profits.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221208_19343_points-of-claim.pdf,https://climatecasechart.com/non-us-case/nz-students-for-climate-solutions-and-uk-youth-climate-coalition-v-board-of-bp/
KlimaAllianz v. FIFA,2022,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","Switzerland, Fair Advertising Commission",,"In a concerted action with similar actions filed in the UK, France, Belgium and the Netherlands, Klima-Allianz, a Swiss-based coalition of 140 civil society organisations, filed a claim against FIFA claiming that FIFA’s advertising of the 2022 Football World Cup in Qatar as carbon neutral was misleading athletes, football fans and the 5 billion people expected to follow the event (which was held from November 20, 2022 until December 18, 2022 as the first ‘winter’ world cup ever). Counsel for the case are Avocat.e.s pour le climat.",Whether FIFA's claims that the 2022 Football World Cup in Qatar was carbon-neutral are misleading.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221102_19052_press-release.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221102_19052_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230607_19052_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230607_19052_press-release.pdf",https://climatecasechart.com/non-us-case/klimaallianz-v-fifa/
Stiftung für Konsumentenschutz v. Hipp,2023,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","Switzerland, Fair Advertising Commission","Switzerland, Unfair Competition Act",The Fair Advertising Commission (FAC) is a non-judicial body that examines complaints alleging violations of the Swiss Fairness Principles in Commercial Communication.,"Whether an advertisement for ""climate-positive"" is a violation of the Swiss Fairness Principles in Commercial Communication.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230906_22273_judgment.pdf,https://climatecasechart.com/non-us-case/stiftung-fur-konsumentenschutz-v-hipp/
ASA Ruling on The Pack Pet Ltd,2022,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","United Kingdom, Advertising Standards Authority (ASA)","United Kingdom, UK Code of Non-broadcast Advertising, Sales Promotion and Direct Marketing","The Pack is a supplier of vegan dog food. On June 12, 2022, a post was seen on the Pack’s Facebook page which featured a video that started with several images of bowls filled with vegetables. The bowls were then shown filled with dog food. The video then showed dogs eating various The Pack products. On-screen text at the end of the video stated, “THE PACK. JOIN THE PACK FOR A HEALTHIER DOG & PLANET”. A caption accompanying the video stated “Better for The Planet”. A complaint was made to the Advertising Standards Authority (“ASA”) challenging whether these claims were misleading and could be substantiated.
By a ruling of November 2, 2022, the ASA upheld that complaint. The CAP Code required that the basis of environmental claims must be clear. The Code also stated that claims must be based on the full life cycle of the advertised product, unless the ad stated otherwise. The claims in the Pack’s ad were broad and non-specific. One possible interpretation was that the products shown were less detrimental to the environment compared to their conventional meat-based equivalents across their life cycles. Because the basis of the claims had not been made clear, and were not based on a full life cycle analysis of the products, the ASA concluded the ad did not comply with the rules of the Code on environmental claims.",Whether a post on a dog food retailer’s Facebook page about its plant-based products made misleading and unsubstantiated environmental claims.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221102_21517_decision.pdf,https://climatecasechart.com/non-us-case/asa-ruling-on-the-pack-pet-ltd/
ClientEarth v. Enea,2018,Not Available,Decided,,"Poland, Regional Court in Poznań","Poland, Polish Commercial Companies Code","ClientEarth, a non-profit environmental law organization and shareholder in the Polish utility Enea SA, has sued that company, seeking the annulment of a resolution consenting to construction of the €1.2bn 1GW Ostrołęka C coal-fired power plant. The claim is brought under the Polish Commercial Companies Code.",Whether the a Polish utility’s resolution granting consent to build a coal-fired power plant breaches board members’ fiduciary duties of due diligence and to act in the best interests of the company and its shareholders given climate-related financial risks,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20180920_Not-Available_na-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190801_Not-Available_judgment-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190801_Not-Available_press-release-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200708_Not-Available_decision.pdf",https://climatecasechart.com/non-us-case/clientearth-v-enea/
AMOREMA e AMORETGRAP vs. Sustainable Carbon and others (Carbon credits and Extractive Reserves),2021,ACP 1045416-11.2021.4.01.3900,Pending,"Suits against corporations, individuals, Corporations, Carbon credits","Brazil, Pará, Pará Federal Court","Brazil, ILO Convention 169 (enacted by Decree 5051/2004, Brazil, Federal Constitution, art. 216, Brazil, Federal Law 9 985/2000 (National System of Nature Conservation Units – SNUC)","On December 20, 2021, AMOREMA and AMORETGRAP filed a Public Civil Action (ACP) against Sustainable Carbon - Projetos Ambientais Ltda., Ecomapuá Conservação Ltda., Eccaplan Consultoria em Sustentabilidade, Bio Assets Ativos Ambientais Ltda, Deloitte Touche Tohmatsu Consultores Ltda., Barilla G. e R. F.lli S.P.A., Banco Santander S.A., ISA CTEEP - Companhia de Transmissão de Energia Elétrica Paulista, Deloitte Touche Tohmatsu Auditores Independentes, BB MAPFRE Participações S.A., IATA International Air Transport Association, Swire Pacific Offshore Operations (PTE.) Ltd, Inter-American Development Bank, Companhia de Locação das Américas, Groupe Air France, 17er Oberlandenergie GMBH, Wienerberger GMBH, Brockhaus Stahl GMBH and other companies which acquired carbon credits from the Ecomapuá Project that could not be identified by the plaintiffs.",Whether the defendant companies illicitly traded in the voluntary market carbon credits generated in or around Extractive Reserves located in the Amazon characterizing a kind of illegal takeover of these assets.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211012_ACP-1045416-11.2021.4.01.3900_petition-1.pdf,https://climatecasechart.com/non-us-case/amorema-e-amoretgrap-vs-sustainable-carbon-and-others-carbon-credits-and-extractive-reserves/
"Notre Affaire à Tous Les Amis de la Terre, and Oxfam France v. BNP Paribas",2023,,Pending,"Suits against corporations, individuals, Corporations, Financing and investment","France, Judicial Court of Paris","France, French Commercial Code, Article L. 225-102-5, France, French Commercial Code, Article L. 225-102-4.-I, France, Duty of Vigilance Law","In October 2022, French environmental NGOs Notre Affaire à Tous, Les Amis de la Terre, and Oxfam France sent a notice of intent to sue BNP Paribas. Considering the answer by BNP Paribas, sent on January 24, 2023, as largely insufficient and unsatisfactory, the NGOs decided to bring suit before the Judicial Court of Paris. The notice of intent to sue - which was the first, and necessary, pre-trial step – and the subsequent summons filed before the Judicial Court of Paris on February 23, 2023 claim that BNP Paribas violated the loi sur le devoir de vigilance of 2017 (Law on the duty of vigilance, incorporated in articles L. 225-102-4 and L. 225-102-5 of the French Commercial Code), the articles of the Civil Code on the prejudice écologique (articles 1246-1252 of the French Civil Code), which refers to any “non-negligible impairment of the components or functions of ecosystems or the collective benefits derived by humans from the environment”, and BNP’s “unilateral commitment of will” to limit and combat climate change.",Whether BNP Paribas' plan concerning the climate risks of its activities is inadequate in violation of the French law on the duty of vigilance.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221022_18777_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221026_18777_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230223_18777_summons.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230223_18777_summons-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240618_18777_decision-1.pdf",https://climatecasechart.com/non-us-case/notre-affaire-a-tous-les-amis-de-la-terre-and-oxfam-france-v-bnp-paribas/
Specific Instance filed to the Australian National Contact Point under the OECD Guidelines for Multinational Enterprises by FoE Australia and Others v ANZ Bank Group Limited,2020,n/a,Decided,"Suits against corporations, individuals, Corporations, Climate damage, Suits against corporations, individuals, Corporations, Disclosures","OECD, Australia National Contact Point","International Law, OECD Guidelines for Multinational Enterprises","On January 30, 2020, Friends of the Earth and three individuals submitted a ""specific instance"" complaint to the Australian National Contact Point for the OECD Guidelines for Multinational Enterprises regarding the activities of ANZ bank. The complaint alleged that ANZ had failed to adhere to the OECD Guidelines on three ground: (i) lack of climate-related disclosure and due diligence, (ii) inadequate environmental policies and management, particularly as regards aligning its investments with the goals of the Paris Agreement, and (iii) disregard for consumer interests. The complaint contained specific requests for ANZ regarding divestment from coal and other fossil fuels.","Whether ANZ Bank breached the OECD Guidelines for Multinational Enterprises by failing to disclose emissions arising from its investments, failing to align its portfolio with the goals of the Paris Agreement, and failing to publish climate scenario analysis relating to all ANZ investments.","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201124_na_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200130_na_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201125_na_reply.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211215_na_reply.pdf",https://climatecasechart.com/non-us-case/specific-instance-filed-to-the-australian-national-contact-point-under-the-oecd-guidelines-for-multinational-enterprises-by-foe-australia-and-others-v-anz-bank-group-limited/
Deutsche Umwelthilfe v. Apple Distribution International Ltd.,2024,LG Frankfurt a. M.: 3-06 O 8/24,Pending,"Suits against corporations, individuals, Corporations, Misleading advertising","Germany, Regional Court of Frankfurt am Main","Germany, The Act against Unfair Competition","The lawsuit is directed against Apple Distribution International Ltd. The company is accused of promoting three models of its Apple Watch as ""CO2-neutral."" The company states that the CO2 emissions caused by the production of these watches are offset by compensation projects. However, Apple largely leaves unclear which projects these are. Moreover, it is not evident whether the compensation projects will actually be operated for the entire period during which the emitted fossil carbon remains in the atmosphere.","Whether advertising claims around ""climate neutrality"" are misleading and in breach of the German Act against Unfair Competition",No case documents are available.,https://climatecasechart.com/non-us-case/deutsche-umwelthilfe-v-apple-distribution-international-ltd/
Australasian Centre for Corporate Responsibility v. Santos,2021,NSD858/2021,Pending,"Suits against corporations, individuals, Corporations, Misleading advertising","Australia, Federal Court of Australia","Australia, Australian Consumer Law, Australia, Corporations Act of 2001","On August 25, 2021, Australasian Centre for Corporate Responsibility (ACCR), a shareholder advocacy NGO, sued Australian oil and gas company Santos over its claims that it provides clean energy natural gas and has a plan for net zero emissions by 2040. According to news reports, ACCR raised two major claims. First, ACCR alleges that Santos' claims that natural gas is ""clean fuel"" that provides ""clean energy"" misrepresents the true effect of natural gas on the climate, including the large releases of CO2 and methane during extraction and burning. Second, Santos’ claims that it has a clear and credible plan to achieve net zero emissions by 2040 are misleading. ACCR alleges that Santos plans to expand its natural gas operations and their plan depends on undisclosed assumptions about the effectiveness of carbon capture and storage processes. The suit alleges that these misrepresentations are in violation of Australian consumer protection and corporations laws.",Whether an oil and gas company's representations that natural gas is a clean fuel and that the company has a credible net zero emissions plan were misleading.,No case documents are available.,https://climatecasechart.com/non-us-case/australasian-centre-for-corporate-responsibility-v-santos/
